measure,region,r
area,lh_bankssts_area,0.8905535929984816
area,lh_caudalanteriorcingulate_area,0.8882487912481618
area,lh_caudalmiddlefrontal_area,0.7431174854610315
area,lh_cuneus_area,0.8793643746895945
area,lh_entorhinal_area,0.9402351197275468
area,lh_frontalpole_area,0.9353602020647901
area,lh_fusiform_area,0.7211369855513781
area,lh_inferiorparietal_area,0.8017336884495138
area,lh_inferiortemporal_area,0.8042786737842084
area,lh_insula_area,0.7836594961831562
area,lh_isthmuscingulate_area,0.8225562439885903
area,lh_lateraloccipital_area,0.8203030659162928
area,lh_lateralorbitofrontal_area,0.7909021446723974
area,lh_lingual_area,0.829303952115866
area,lh_medialorbitofrontal_area,0.7785421656440542
area,lh_middletemporal_area,0.7477866506090894
area,lh_paracentral_area,0.7862326215638037
area,lh_parahippocampal_area,0.8846479684343573
area,lh_parsopercularis_area,0.8548031896413506
area,lh_parsorbitalis_area,0.8444736763180063
area,lh_parstriangularis_area,0.874947224141883
area,lh_pericalcarine_area,0.8967776461019664
area,lh_postcentral_area,0.6888796770349581
area,lh_posteriorcingulate_area,0.820966713495618
area,lh_precentral_area,0.6787199065951005
area,lh_precuneus_area,0.6356883842249273
area,lh_rostralanteriorcingulate_area,0.7979869823243945
area,lh_rostralmiddlefrontal_area,0.7021803729566204
area,lh_superiorfrontal_area,0.6109679267938415
area,lh_superiorparietal_area,0.781691576031025
area,lh_superiortemporal_area,0.7362915987255738
area,lh_supramarginal_area,0.8219685176385788
area,lh_temporalpole_area,0.9365499480967246
area,lh_transversetemporal_area,0.8863485064523848
area,rh_bankssts_area,0.8430147590032834
area,rh_caudalanteriorcingulate_area,0.8709622977516865
area,rh_caudalmiddlefrontal_area,0.7689405773690808
area,rh_cuneus_area,0.867050521141082
area,rh_entorhinal_area,0.9248873933769625
area,rh_frontalpole_area,0.9472816742935705
area,rh_fusiform_area,0.7366681681219298
area,rh_inferiorparietal_area,0.7968643983791529
area,rh_inferiortemporal_area,0.7829258640109068
area,rh_insula_area,0.7456050996361431
area,rh_isthmuscingulate_area,0.8472984709924662
area,rh_lateraloccipital_area,0.8478295008837264
area,rh_lateralorbitofrontal_area,0.8276889629033298
area,rh_lingual_area,0.8297275701898594
area,rh_medialorbitofrontal_area,0.7460150966110298
area,rh_middletemporal_area,0.728016746016659
area,rh_paracentral_area,0.7670178795141347
area,rh_parahippocampal_area,0.8732377129999163
area,rh_parsopercularis_area,0.8224371636322506
area,rh_parsorbitalis_area,0.8325919594400122
area,rh_parstriangularis_area,0.8718658429217907
area,rh_pericalcarine_area,0.8891098445183974
area,rh_postcentral_area,0.7365471094742384
area,rh_posteriorcingulate_area,0.7753072927085813
