measure,region,r,n
thickness,rh_rostralanteriorcingulate_thickness,0.963031039377007,425
thickness,lh_parahippocampal_thickness,0.959872667183584,425
thickness,rh_frontalpole_thickness,0.94543722065081,425
thickness,rh_temporalpole_thickness,0.9367383978008615,425
thickness,rh_parahippocampal_thickness,0.9351757226648533,425
thickness,rh_isthmuscingulate_thickness,0.9350547924479523,425
thickness,lh_rostralanteriorcingulate_thickness,0.9299116824007407,425
thickness,lh_frontalpole_thickness,0.9295471969530806,425
thickness,lh_temporalpole_thickness,0.9222034805790388,425
thickness,rh_caudalanteriorcingulate_thickness,0.920326983760029,425
thickness,rh_posteriorcingulate_thickness,0.9171691424115698,425
thickness,rh_entorhinal_thickness,0.910673162068351,425
thickness,lh_entorhinal_thickness,0.9091928373246517,425
thickness,lh_medialorbitofrontal_thickness,0.9081142769558626,425
thickness,lh_posteriorcingulate_thickness,0.9049538813835774,425
thickness,rh_insula_thickness,0.9045888417854502,425
thickness,lh_caudalanteriorcingulate_thickness,0.9034819768122926,425
thickness,rh_transversetemporal_thickness,0.9026030993629622,425
thickness,lh_isthmuscingulate_thickness,0.8959586296902614,425
thickness,lh_insula_thickness,0.8957985103047366,425
thickness,rh_pericalcarine_thickness,0.8922873587272896,425
thickness,lh_cuneus_thickness,0.8881857777266304,425
thickness,lh_parsorbitalis_thickness,0.8875877614032387,425
thickness,lh_transversetemporal_thickness,0.8873965922126122,425
thickness,lh_pericalcarine_thickness,0.8866083117711545,425
thickness,rh_parsorbitalis_thickness,0.8859395595205424,425
thickness,rh_medialorbitofrontal_thickness,0.877029797685445,425
thickness,rh_cuneus_thickness,0.8767417981783894,425
thickness,rh_inferiortemporal_thickness,0.8752077477629944,425
thickness,lh_inferiortemporal_thickness,0.8571091864131224,425
thickness,lh_bankssts_thickness,0.8543819174234164,425
thickness,rh_lingual_thickness,0.8435713051216158,425
thickness,lh_parstriangularis_thickness,0.8373283823499639,425
thickness,rh_bankssts_thickness,0.8367758184287465,425
thickness,rh_parsopercularis_thickness,0.8200740660652104,425
thickness,rh_parstriangularis_thickness,0.8109990704390986,425
thickness,lh_lingual_thickness,0.7976524207302799,425
thickness,lh_middletemporal_thickness,0.7975476673903746,425
thickness,lh_lateralorbitofrontal_thickness,0.7967140315084398,425
thickness,lh_fusiform_thickness,0.7947851915983402,425
thickness,lh_parsopercularis_thickness,0.7820342222573995,425
thickness,rh_paracentral_thickness,0.7802733487429947,425
thickness,rh_caudalmiddlefrontal_thickness,0.7747986684770627,425
thickness,rh_postcentral_thickness,0.7719064506448752,425
thickness,rh_fusiform_thickness,0.7689770458402472,425
thickness,rh_lateralorbitofrontal_thickness,0.7689041850113563,425
thickness,lh_lateraloccipital_thickness,0.7551109651873213,425
thickness,lh_paracentral_thickness,0.7543868902100552,425
thickness,rh_superiortemporal_thickness,0.7525092907588186,425
thickness,rh_precentral_thickness,0.7511921574797923,425
thickness,rh_middletemporal_thickness,0.7491989999003453,425
thickness,lh_superiortemporal_thickness,0.7398463275723953,425
thickness,rh_lateraloccipital_thickness,0.727641290611742,425
thickness,lh_postcentral_thickness,0.7257366020715628,425
thickness,lh_caudalmiddlefrontal_thickness,0.71798746024619,425
thickness,rh_superiorfrontal_thickness,0.7053809367962539,425
thickness,lh_superiorfrontal_thickness,0.6951755864019855,425
thickness,lh_inferiorparietal_thickness,0.6910559657469306,425
thickness,lh_precentral_thickness,0.6843412475956201,425
thickness,lh_rostralmiddlefrontal_thickness,0.6775325638968287,425
thickness,rh_rostralmiddlefrontal_thickness,0.665961770943342,425
thickness,lh_precuneus_thickness,0.6652088770163547,425
thickness,rh_supramarginal_thickness,0.6614747696400234,425
thickness,rh_precuneus_thickness,0.6523193351402151,425
thickness,lh_supramarginal_thickness,0.6471543865779905,425
thickness,rh_inferiorparietal_thickness,0.6437224043496961,425
thickness,lh_superiorparietal_thickness,0.5957165791665986,425
thickness,rh_superiorparietal_thickness,0.5520927754268653,425
area,rh_entorhinal_area,0.9513812072247826,425
area,lh_entorhinal_area,0.9452981734449755,425
area,lh_parahippocampal_area,0.9278775351697974,425
