algorithm,group,n,n_L,n_R,accuracy,sens_L,sens_R,p_value_chi2
MFP,all_surgical,442,234,208,0.669683257918552,0.6923076923076923,0.6442307692307693,2.871492121735964e-12
MFP,pathology_CAV,33,16,17,0.696969696969697,0.8125,0.5882352941176471,
MFP,pathology_DNT,52,28,24,0.6538461538461539,0.6785714285714286,0.625,
MFP,pathology_DUAL,21,16,5,0.8571428571428571,0.8125,1.0,
MFP,pathology_FCD,39,18,21,0.5641025641025641,0.4444444444444444,0.6666666666666666,
MFP,pathology_HS,215,122,93,0.6697674418604651,0.6885245901639344,0.6451612903225806,
MFP,pathology_OTHER,74,29,45,0.6621621621621622,0.7241379310344828,0.6222222222222222,
GAMLSS,all_surgical,442,234,208,0.6470588235294118,0.6581196581196581,0.6346153846153846,1.4175734693810986e-09
GAMLSS,pathology_CAV,33,16,17,0.696969696969697,0.625,0.7647058823529411,
GAMLSS,pathology_DNT,52,28,24,0.6153846153846154,0.5714285714285714,0.6666666666666666,
GAMLSS,pathology_DUAL,21,16,5,0.7142857142857143,0.75,0.6,
GAMLSS,pathology_FCD,39,18,21,0.5128205128205128,0.5,0.5238095238095238,
GAMLSS,pathology_HS,215,122,93,0.6790697674418604,0.6967213114754098,0.6559139784946236,
GAMLSS,pathology_OTHER,74,29,45,0.6081081081081081,0.6551724137931034,0.5777777777777777,
