"algorithm","measure","region","n","mean_z","sd_z"
"MFP","subcortical","Left-Accumbens-area",100,0.00239879856839589,1.28359173433913
"MFP","subcortical","Left-Amygdala",100,0.00128681463754278,1.08189678744543
"MFP","subcortical","Left-Caudate",100,-0.000486890195552002,0.999381357514553
"MFP","subcortical","Left-Hippocampus",100,-0.000718803871199722,1.07405603555126
"MFP","subcortical","Left-Pallidum",100,0.00448295304558185,1.16619118166529
"MFP","subcortical","Left-Putamen",100,0.000588053465704863,1.0306310757203
"MFP","subcortical","Left-Thalamus",100,0.00156793332505067,1.56430813579929
"MFP","area","lh_bankssts_area",100,-0.00400449730717676,1.12326064685461
"MFP","thickness","lh_bankssts_thickness",100,-0.00600147543874617,1.00370103931882
"MFP","area","lh_caudalanteriorcingulate_area",100,-0.0033901396397438,1.20290022558582
"MFP","thickness","lh_caudalanteriorcingulate_thickness",100,0.000807866519412012,0.977394918120045
"MFP","area","lh_caudalmiddlefrontal_area",100,0.00173972319993057,0.871554686446541
"MFP","thickness","lh_caudalmiddlefrontal_thickness",100,0.00422634442953349,0.906855118461919
"MFP","area","lh_cuneus_area",100,0.004053399681814,1.04205324290352
"MFP","thickness","lh_cuneus_thickness",100,0.000406566097585387,1.06916640987042
"MFP","area","lh_entorhinal_area",100,-0.00172538575472789,1.20648508045901
"MFP","thickness","lh_entorhinal_thickness",100,-0.00241079374626795,1.10622597599225
"MFP","area","lh_frontalpole_area",100,0.00463251830561682,1.18649705765884
"MFP","thickness","lh_frontalpole_thickness",100,-0.00111481557348739,1.2670120200117
"MFP","area","lh_fusiform_area",100,-0.00289863929442277,1.12921067449162
"MFP","thickness","lh_fusiform_thickness",100,-0.00109459722267814,1.17299468979633
"MFP","area","lh_inferiorparietal_area",100,0.00155238519208717,1.09067170549218
"MFP","thickness","lh_inferiorparietal_thickness",100,-0.00274514062819008,1.16400181847342
"MFP","area","lh_inferiortemporal_area",100,-0.00661898192641145,1.01318365562606
"MFP","thickness","lh_inferiortemporal_thickness",100,-0.00269133447766967,0.987018930775943
"MFP","area","lh_insula_area",100,0.0023400617552968,1.04548040458439
"MFP","thickness","lh_insula_thickness",100,-0.00326179389092273,1.09680493011274
"MFP","area","lh_isthmuscingulate_area",100,-0.00133025107357605,0.904401308461769
