"algorithm","sex","measure","region","N_total","N_per_sex","mu_hat_sd"
"MFP","F","thickness","lh_bankssts_thickness",10,10,0.0393182229409292
"MFP","F","thickness","lh_caudalanteriorcingulate_thickness",10,10,0.0560188145994281
"MFP","F","thickness","lh_caudalmiddlefrontal_thickness",10,10,0.0286619562065596
"MFP","F","thickness","lh_cuneus_thickness",10,10,0.0347584412877655
"MFP","F","thickness","lh_entorhinal_thickness",10,10,0.0970066909066273
"MFP","F","thickness","lh_fusiform_thickness",10,10,0.0312609320073515
"MFP","F","thickness","lh_inferiorparietal_thickness",10,10,0.0291845098772475
"MFP","F","thickness","lh_inferiortemporal_thickness",10,10,0.0361244643811882
"MFP","F","thickness","lh_isthmuscingulate_thickness",10,10,0.0517235074255065
"MFP","F","thickness","lh_lateraloccipital_thickness",10,10,0.0265426946274287
"MFP","F","thickness","lh_lateralorbitofrontal_thickness",10,10,0.0447741637116057
"MFP","F","thickness","lh_lingual_thickness",10,10,0.0376122782357454
"MFP","F","thickness","lh_medialorbitofrontal_thickness",10,10,0.0512215860786953
"MFP","F","thickness","lh_middletemporal_thickness",10,10,0.0359641285405542
"MFP","F","thickness","lh_parahippocampal_thickness",10,10,0.0735190104935169
"MFP","F","thickness","lh_paracentral_thickness",10,10,0.0321877001187019
"MFP","F","thickness","lh_parsopercularis_thickness",10,10,0.0338275358361766
"MFP","F","thickness","lh_parsorbitalis_thickness",10,10,0.0434415992682661
"MFP","F","thickness","lh_parstriangularis_thickness",10,10,0.0305851810483422
"MFP","F","thickness","lh_pericalcarine_thickness",10,10,0.0334710207480974
"MFP","F","thickness","lh_postcentral_thickness",10,10,0.0284085696487399
"MFP","F","thickness","lh_posteriorcingulate_thickness",10,10,0.0363968915224997
"MFP","F","thickness","lh_precentral_thickness",10,10,0.0279483237602399
"MFP","F","thickness","lh_precuneus_thickness",10,10,0.0208548355308491
"MFP","F","thickness","lh_rostralanteriorcingulate_thickness",10,10,0.0446267427768577
"MFP","F","thickness","lh_rostralmiddlefrontal_thickness",10,10,0.0262048898066039
"MFP","F","thickness","lh_superiorfrontal_thickness",10,10,0.0262976033747215
"MFP","F","thickness","lh_superiorparietal_thickness",10,10,0.0215299265583721
"MFP","F","thickness","lh_superiortemporal_thickness",10,10,0.0283767523480116
"MFP","F","thickness","lh_supramarginal_thickness",10,10,0.0265955314412374
"MFP","F","thickness","lh_frontalpole_thickness",10,10,0.0962067995651873
"MFP","F","thickness","lh_temporalpole_thickness",10,10,0.0743479373414391
"MFP","F","thickness","lh_transversetemporal_thickness",10,10,0.0483220767181249
"MFP","F","thickness","lh_insula_thickness",10,10,0.0373529937251992
"MFP","F","thickness","rh_bankssts_thickness",10,10,0.0520282681462928
"MFP","F","thickness","rh_caudalanteriorcingulate_thickness",10,10,0.0798804677899859
"MFP","F","thickness","rh_caudalmiddlefrontal_thickness",10,10,0.0237780684662675
"MFP","F","thickness","rh_cuneus_thickness",10,10,0.0360112312739971
"MFP","F","thickness","rh_entorhinal_thickness",10,10,0.0979003026718224
"MFP","F","thickness","rh_fusiform_thickness",10,10,0.0396471449145452
"MFP","F","thickness","rh_inferiorparietal_thickness",10,10,0.0247848049302897
"MFP","F","thickness","rh_inferiortemporal_thickness",10,10,0.0293534095710371
"MFP","F","thickness","rh_isthmuscingulate_thickness",10,10,0.0633352450451916
