measure,region,mean_z,sd_z,n
area,lh_lateralorbitofrontal_area,4.829470157119431e-17,1.5890088412605048,100
area,rh_lateralorbitofrontal_area,-5.551115123125783e-17,1.5107725205554847,100
area,rh_precuneus_area,2.6645352591003756e-17,1.2666152805177444,100
area,lh_medialorbitofrontal_area,-2.7755575615628915e-18,1.2403986612212679,100
area,rh_superiortemporal_area,-1.0769163338864018e-16,1.2209726618677619,100
area,rh_lingual_area,-5.773159728050814e-17,1.2152413227534828,100
area,rh_frontalpole_area,1.2212453270876723e-16,1.1960905648267302,100
area,rh_superiorparietal_area,1.532107773982716e-16,1.1940032585648273,100
area,lh_entorhinal_area,6.661338147750939e-17,1.1838884452153453,100
area,lh_caudalanteriorcingulate_area,-7.105427357601002e-17,1.1835033273273794,100
area,rh_medialorbitofrontal_area,-2.4646951146678477e-16,1.1762557049240434,100
area,lh_frontalpole_area,-1.3433698597964394e-16,1.1679009278606962,100
area,lh_supramarginal_area,3.1752378504279476e-16,1.160217549056148,100
area,rh_insula_area,-1.3322676295501878e-16,1.1467770947249951,100
area,lh_temporalpole_area,1.3988810110276973e-16,1.1441194418667258,100
area,lh_superiorfrontal_area,1.8207657603852566e-16,1.143723517786192,100
area,rh_lateraloccipital_area,-1.1851630787873545e-16,1.1398658084867859,100
area,rh_isthmuscingulate_area,3.219646771412954e-17,1.1251457229728965,100
area,lh_superiorparietal_area,7.327471962526034e-17,1.120355370665808,100
area,lh_bankssts_area,-6.661338147750939e-17,1.1024739977926346,100
area,lh_fusiform_area,2.3980817331903383e-16,1.1018557064514563,100
area,rh_paracentral_area,2.6645352591003756e-17,1.0772788119549794,100
area,lh_inferiorparietal_area,-2.270406085358445e-16,1.0724702509098882,100
area,rh_fusiform_area,6.938893903907229e-19,1.0717079829857998,100
area,rh_middletemporal_area,1.8686441283222166e-16,1.0708975296386793,100
area,rh_pericalcarine_area,-1.9984014443252817e-17,1.0608984298982949,100
area,lh_parsopercularis_area,-2.842170943040401e-16,1.0584732924004912,100
area,rh_parsorbitalis_area,-3.2251978865360795e-16,1.0576855649711272,100
