"measure","region","cohort","n","mean_z","sd_z"
"subcortical","Left-Accumbens-area","control",100,-2.71419171860021e-17,1.24385147697764
"subcortical","Left-Amygdala","control",100,-2.89872292835724e-17,1.05381921878261
"subcortical","Left-Caudate","control",100,-1.24342674828401e-16,0.972426429457533
"subcortical","Left-Hippocampus","control",100,-4.17886753846519e-16,1.04874707144377
"subcortical","Left-Pallidum","control",100,4.22067708474166e-17,1.11665062403578
"subcortical","Left-Putamen","control",100,-2.92887052501592e-16,1.01501384212539
"subcortical","Left-Thalamus","control",100,3.59364231081183e-16,1.50781205705831
"area","lh_bankssts_area","control",100,1.19487210924196e-17,1.10247399779263
"thickness","lh_bankssts_thickness","control",100,-4.62003279058133e-17,0.972111078210046
"area","lh_caudalanteriorcingulate_area","control",100,2.05477995729453e-17,1.18350332732738
"thickness","lh_caudalanteriorcingulate_thickness","control",100,8.1974357857284e-17,0.966452562511802
"area","lh_caudalmiddlefrontal_area","control",100,7.19393213619371e-17,0.864896472478863
"thickness","lh_caudalmiddlefrontal_thickness","control",100,4.39291615236814e-18,0.89201537481135
"area","lh_cuneus_area","control",100,-1.10729567875945e-17,0.99989040079762
"thickness","lh_cuneus_thickness","control",100,6.48634791711178e-17,1.04309655254409
"area","lh_entorhinal_area","control",100,2.95596880306448e-17,1.18388844521535
"thickness","lh_entorhinal_thickness","control",100,-1.33713569730465e-16,1.09646974306506
"area","lh_frontalpole_area","control",100,-1.7439879835407e-16,1.1679009278607
"thickness","lh_frontalpole_thickness","control",100,-5.59101376307325e-17,1.21871293409686
"area","lh_fusiform_area","control",100,4.46311824303658e-18,1.10185570645146
"thickness","lh_fusiform_thickness","control",100,-2.42164144639845e-16,1.14353005688051
"area","lh_inferiorparietal_area","control",100,-4.03924940370337e-17,1.07247025090989
"thickness","lh_inferiorparietal_thickness","control",100,-5.91486495199467e-17,1.12703517294887
"area","lh_inferiortemporal_area","control",100,-2.37657116208823e-17,0.987644407086857
"thickness","lh_inferiortemporal_thickness","control",100,2.93359358072981e-17,0.971433835181045
"area","lh_insula_area","control",100,1.85555780810032e-17,1.03452232471841
"thickness","lh_insula_thickness","control",100,-2.71419442910564e-16,1.05443510740096
"area","lh_isthmuscingulate_area","control",100,-5.49365240798405e-18,0.887491125155746
"thickness","lh_isthmuscingulate_thickness","control",100,-5.30445912888533e-17,1.03152035177403
"area","lh_lateraloccipital_area","control",100,-3.78223927871568e-17,1.05594258123842
"thickness","lh_lateraloccipital_thickness","control",100,4.15531324626794e-17,0.966116612531372
"area","lh_lateralorbitofrontal_area","control",100,4.57468264658534e-17,1.58900884126051
"thickness","lh_lateralorbitofrontal_thickness","control",100,-5.9687497999672e-17,1.40132137282187
"area","lh_lingual_area","control",100,-7.7412035115465e-18,0.951875472225993
"thickness","lh_lingual_thickness","control",100,3.2461446725085e-16,1.30032143729903
"area","lh_medialorbitofrontal_area","control",100,-6.24154861909171e-17,1.24039866122127
"thickness","lh_medialorbitofrontal_thickness","control",100,2.83364911396466e-16,1.28659726104333
"area","lh_middletemporal_area","control",100,3.42434414157822e-17,1.01835246538767
"thickness","lh_middletemporal_thickness","control",100,-7.28963330670629e-18,0.869318240238689
"area","lh_paracentral_area","control",100,1.72236357121047e-17,0.874449269244176
"thickness","lh_paracentral_thickness","control",100,7.10287948249566e-17,1.09319095554928
"area","lh_parahippocampal_area","control",100,1.36085261982777e-16,0.835810670812794
"thickness","lh_parahippocampal_thickness","control",100,-9.95091595928921e-17,0.995779138946126
"area","lh_parsopercularis_area","control",100,-5.14518982974721e-17,1.05847329240049
"thickness","lh_parsopercularis_thickness","control",100,1.91154329778204e-16,1.03173902074111
"area","lh_parsorbitalis_area","control",100,-2.84211402242635e-17,0.966996163343511
"thickness","lh_parsorbitalis_thickness","control",100,4.27392496393786e-17,0.959032505633554
"area","lh_parstriangularis_area","control",100,7.03416816981439e-18,1.0185040885507
"thickness","lh_parstriangularis_thickness","control",100,3.44971447241438e-17,0.838096955237989
"area","lh_pericalcarine_area","control",100,-1.70176372993325e-17,0.95715730669874
"thickness","lh_pericalcarine_thickness","control",100,-1.00136912650761e-17,1.26253239089561
"area","lh_postcentral_area","control",100,-4.32168406963585e-17,0.97633088212529
"thickness","lh_postcentral_thickness","control",100,1.19435711321003e-17,1.03838669035504
"area","lh_posteriorcingulate_area","control",100,-2.22250603337804e-17,0.858761113739851
"thickness","lh_posteriorcingulate_thickness","control",100,5.81305836799828e-17,0.938556530906344
"area","lh_precentral_area","control",100,1.89341001644722e-17,0.976074912445085
"thickness","lh_precentral_thickness","control",100,-1.57531865156713e-17,1.11677536277437
"area","lh_precuneus_area","control",100,-7.64118586113471e-18,1.04211186540756
"thickness","lh_precuneus_thickness","control",100,7.20918550550786e-17,0.840230962743595
"area","lh_rostralanteriorcingulate_area","control",100,5.20243570445444e-17,0.988931572683187
"thickness","lh_rostralanteriorcingulate_thickness","control",100,1.42971572081319e-16,0.909000549335222
"area","lh_rostralmiddlefrontal_area","control",100,3.00063793257088e-17,0.895828454356619
"thickness","lh_rostralmiddlefrontal_thickness","control",100,-7.08975047181322e-18,1.05636499507081
"area","lh_superiorfrontal_area","control",100,-1.00288700954909e-18,1.14372351778619
"thickness","lh_superiorfrontal_thickness","control",100,-4.08413537364427e-17,0.92341239521024
"area","lh_superiorparietal_area","control",100,-8.49233877664446e-17,1.12035537066581
"thickness","lh_superiorparietal_thickness","control",100,7.51883364596972e-17,1.00024237190372
"area","lh_superiortemporal_area","control",100,5.09927386774245e-17,0.962571352690199
"thickness","lh_superiortemporal_thickness","control",100,-4.05212430450164e-17,0.969878083829237
"area","lh_supramarginal_area","control",100,-1.40512601554121e-17,1.16021754905615
"thickness","lh_supramarginal_thickness","control",100,-9.51842771268474e-17,0.9881142920519
"area","lh_temporalpole_area","control",100,-8.40321735806615e-17,1.14411944186673
"thickness","lh_temporalpole_thickness","control",100,3.71762082923555e-17,0.926733322436815
"area","lh_transversetemporal_area","control",100,-1.41300596304952e-17,0.881830418346335
"thickness","lh_transversetemporal_thickness","control",100,-2.87801466686277e-17,1.03092184016259
"area","rh_bankssts_area","control",100,1.00988011356162e-17,0.911404950027073
"thickness","rh_bankssts_thickness","control",100,-8.0518274339636e-17,1.32785798437557
"area","rh_caudalanteriorcingulate_area","control",100,-3.31169553585697e-17,0.932408168566243
"thickness","rh_caudalanteriorcingulate_thickness","control",100,-1.4604745364466e-16,1.11169006347365
"area","rh_caudalmiddlefrontal_area","control",100,-1.9408303089663e-17,0.811651517785546
"thickness","rh_caudalmiddlefrontal_thickness","control",100,9.124645483638e-18,0.856905862133869
"area","rh_cuneus_area","control",100,-1.06360233120828e-17,0.958796014924947
"thickness","rh_cuneus_thickness","control",100,-2.15647812107367e-17,0.972713810543781
"area","rh_entorhinal_area","control",100,6.78699717954201e-17,1.00487708097046
"thickness","rh_entorhinal_thickness","control",100,2.37780715256486e-16,1.08719882768562
"area","rh_frontalpole_area","control",100,-1.63687422990999e-17,1.19609056482673
"thickness","rh_frontalpole_thickness","control",100,1.84970311636889e-17,1.17814753699469
"area","rh_fusiform_area","control",100,-2.91641575255949e-17,1.0717079829858
"thickness","rh_fusiform_thickness","control",100,-8.01550666118533e-17,1.30818899811486
"area","rh_inferiorparietal_area","control",100,9.86840817396306e-18,1.04665597923837
"thickness","rh_inferiorparietal_thickness","control",100,-8.04456327940795e-17,1.01855825611638
"area","rh_inferiortemporal_area","control",100,1.94736262705553e-18,0.939812682468545
"thickness","rh_inferiortemporal_thickness","control",100,-1.76952636571359e-17,1.01063387181446
"area","rh_insula_area","control",100,3.00996207125426e-17,1.146777094725
"thickness","rh_insula_thickness","control",100,4.29977234372991e-16,1.09510529226544
"area","rh_isthmuscingulate_area","control",100,-8.35269353682833e-18,1.1251457229729
"thickness","rh_isthmuscingulate_thickness","control",100,4.78603701808966e-16,1.27101132908154
"area","rh_lateraloccipital_area","control",100,1.53006676339301e-17,1.13986580848679
"thickness","rh_lateraloccipital_thickness","control",100,-4.13932126422378e-17,0.894979242197479
"area","rh_lateralorbitofrontal_area","control",100,-5.20417042793042e-17,1.51077252055548
"thickness","rh_lateralorbitofrontal_thickness","control",100,-1.83171127894835e-16,1.05909230143769
"area","rh_lingual_area","control",100,-6.96925156473682e-17,1.21524132275348
"thickness","rh_lingual_thickness","control",100,9.69818843288284e-17,1.25902463622692
"area","rh_medialorbitofrontal_area","control",100,-9.63205210036122e-18,1.17625570492404
"thickness","rh_medialorbitofrontal_thickness","control",100,1.64975455171912e-16,1.08750750934341
"area","rh_middletemporal_area","control",100,-1.50931445618528e-17,1.07089752963868
"thickness","rh_middletemporal_thickness","control",100,-3.15340201867409e-17,0.965449975758415
"area","rh_paracentral_area","control",100,-1.30104260698261e-17,1.07727881195498
"thickness","rh_paracentral_thickness","control",100,-4.48363676915087e-17,1.03706278529864
"area","rh_parahippocampal_area","control",100,1.65175490472735e-17,0.80336213902174
"thickness","rh_parahippocampal_thickness","control",100,8.35819586285369e-17,1.01764591965269
"area","rh_parsopercularis_area","control",100,-4.84172164166852e-17,1.02728995110971
"thickness","rh_parsopercularis_thickness","control",100,-8.62265987777722e-17,0.993903927865404
"area","rh_parsorbitalis_area","control",100,-7.14077234842403e-17,1.05768556497113
"thickness","rh_parsorbitalis_thickness","control",100,-4.42961639590678e-17,0.96168086497227
"area","rh_parstriangularis_area","control",100,3.77454144329103e-17,0.941488026191459
"thickness","rh_parstriangularis_thickness","control",100,-1.20866858188684e-17,1.03173262005414
"area","rh_pericalcarine_area","control",100,-8.86768956875894e-18,1.0608984298983
"thickness","rh_pericalcarine_thickness","control",100,1.70241425123674e-17,1.33272850605522
"area","rh_postcentral_area","control",100,2.31498847869105e-17,0.922778072671685
"thickness","rh_postcentral_thickness","control",100,4.36640740925087e-17,0.938109168430141
"area","rh_posteriorcingulate_area","control",100,1.23956834380268e-17,0.968864777140962
"thickness","rh_posteriorcingulate_thickness","control",100,6.93889390390723e-17,1.01620113718138
"area","rh_precentral_area","control",100,5.9278753780645e-17,0.905285065551206
"thickness","rh_precentral_thickness","control",100,-1.3762862377531e-17,0.982529681978844
"area","rh_precuneus_area","control",100,6.34149850686772e-18,1.26661528051774
"thickness","rh_precuneus_thickness","control",100,1.91348130916535e-18,1.06414802812516
"area","rh_rostralanteriorcingulate_area","control",100,-6.49740677927113e-17,0.835112749511777
"thickness","rh_rostralanteriorcingulate_thickness","control",100,1.45577994103974e-16,0.976320931456791
"area","rh_rostralmiddlefrontal_area","control",100,-9.07629006674515e-17,1.00980133466487
"thickness","rh_rostralmiddlefrontal_thickness","control",100,-2.75387351811318e-18,1.36147999074979
"area","rh_superiorfrontal_area","control",100,-4.40047846252123e-17,1.01478680873907
"thickness","rh_superiorfrontal_thickness","control",100,-4.10533152611636e-18,1.01671945807713
"area","rh_superiorparietal_area","control",100,7.22631589983314e-17,1.19400325856483
"thickness","rh_superiorparietal_thickness","control",100,1.78630168382737e-16,0.960222855212167
"area","rh_superiortemporal_area","control",100,4.19120033817721e-17,1.22097266186776
"thickness","rh_superiortemporal_thickness","control",100,-8.47629258449167e-17,0.99123698317515
"area","rh_supramarginal_area","control",100,3.53666748664772e-18,0.86442568933041
"thickness","rh_supramarginal_thickness","control",100,-2.22791620221874e-16,1.09471415896333
"area","rh_temporalpole_area","control",100,-2.2401568447461e-16,1.03006257101799
"thickness","rh_temporalpole_thickness","control",100,4.90276222397945e-18,0.849562873328674
"area","rh_transversetemporal_area","control",100,-1.55637221860294e-18,0.968281872198354
"thickness","rh_transversetemporal_thickness","control",100,-4.5790736653839e-17,1.0269165361601
"subcortical","Right-Accumbens-area","control",100,-7.37257477290143e-18,1.16204598482362
"subcortical","Right-Amygdala","control",100,-1.02055950496061e-16,1.07223212053534
"subcortical","Right-Caudate","control",100,-3.18905871762171e-17,0.94884419434236
"subcortical","Right-Hippocampus","control",100,1.94502346086839e-16,1.12623565681155
"subcortical","Right-Pallidum","control",100,-1.49519069000958e-16,1.40249637858285
"subcortical","Right-Putamen","control",100,-1.22074659408833e-16,1.01320693059179
"subcortical","Right-Thalamus","control",100,-2.58473797920544e-16,1.52546767469461
"subcortical","Left-Accumbens-area","patient",442,-0.376784359974181,1.34671133407983
"subcortical","Left-Amygdala","patient",442,0.139872349479217,1.85568925331802
"subcortical","Left-Caudate","patient",442,-0.243883004222428,1.10636030680047
"subcortical","Left-Hippocampus","patient",442,-0.862520696742068,2.03583488310369
"subcortical","Left-Pallidum","patient",442,-0.0250922394350982,1.19579952175778
"subcortical","Left-Putamen","patient",442,-0.332226042986892,1.10092702066007
"subcortical","Left-Thalamus","patient",442,-0.193434008912213,1.63248179995609
"area","lh_bankssts_area","patient",442,-0.0146832566444979,1.19319858855581
"thickness","lh_bankssts_thickness","patient",442,0.0823635480459895,1.22189098652427
"area","lh_caudalanteriorcingulate_area","patient",442,0.0195778587180558,1.15002910802209
"thickness","lh_caudalanteriorcingulate_thickness","patient",442,-0.0783175341495839,1.30754933899971
"area","lh_caudalmiddlefrontal_area","patient",442,0.275503881769079,1.02947253134221
"thickness","lh_caudalmiddlefrontal_thickness","patient",442,-0.320891157479987,1.02940846319996
"area","lh_cuneus_area","patient",442,-0.354748395053814,1.17587261609155
"thickness","lh_cuneus_thickness","patient",442,0.0316178102549745,0.990785655366696
"area","lh_entorhinal_area","patient",442,-0.231421618160476,1.2661216014308
"thickness","lh_entorhinal_thickness","patient",442,-0.1654688818877,1.17727437364333
"area","lh_frontalpole_area","patient",442,-0.165121824135206,1.34349195789119
"thickness","lh_frontalpole_thickness","patient",442,0.154570068664498,1.15254348208203
"area","lh_fusiform_area","patient",442,-0.111506684776576,1.10331136026081
"thickness","lh_fusiform_thickness","patient",442,8.80147284687016e-05,1.28695545060505
"area","lh_inferiorparietal_area","patient",442,0.156378133751015,1.15143803318042
"thickness","lh_inferiorparietal_thickness","patient",442,-0.61875445925483,1.23628028346671
"area","lh_inferiortemporal_area","patient",442,-0.592479172987157,1.24960497167207
"thickness","lh_inferiortemporal_thickness","patient",442,0.550831885086746,1.3233844771808
"area","lh_insula_area","patient",442,0.11268361906892,1.2225293471272
"thickness","lh_insula_thickness","patient",442,0.197278809334487,1.1146582989551
"area","lh_isthmuscingulate_area","patient",442,-0.231061814179472,1.16094831644937
"thickness","lh_isthmuscingulate_thickness","patient",442,0.0721329741761134,1.19583215733884
"area","lh_lateraloccipital_area","patient",442,-0.143027638735519,1.19520771094686
"thickness","lh_lateraloccipital_thickness","patient",442,-0.0675583881814064,1.21868739266524
"area","lh_lateralorbitofrontal_area","patient",442,-0.679312654913667,1.40191147521829
"thickness","lh_lateralorbitofrontal_thickness","patient",442,0.934827669262386,1.26690173096662
"area","lh_lingual_area","patient",442,0.0132143134777006,1.0867681393552
"thickness","lh_lingual_thickness","patient",442,-0.372552006750582,1.43125485398469
"area","lh_medialorbitofrontal_area","patient",442,-0.370853521073509,1.16354521455762
"thickness","lh_medialorbitofrontal_thickness","patient",442,0.625973600715877,1.42850789155792
"area","lh_middletemporal_area","patient",442,-0.552043968222932,1.1919200315098
"thickness","lh_middletemporal_thickness","patient",442,0.0847612215677042,1.13085588348369
"area","lh_paracentral_area","patient",442,0.197997787735901,0.968181096068569
"thickness","lh_paracentral_thickness","patient",442,-0.767219993802999,1.19700982278873
"area","lh_parahippocampal_area","patient",442,-0.0888774815880771,1.32240150615207
"thickness","lh_parahippocampal_thickness","patient",442,-0.405528243451555,1.22456018449931
"area","lh_parsopercularis_area","patient",442,0.096042797976855,1.03421003046514
"thickness","lh_parsopercularis_thickness","patient",442,-0.113405851165037,1.05359753641121
"area","lh_parsorbitalis_area","patient",442,0.122413945321846,1.18582287447308
"thickness","lh_parsorbitalis_thickness","patient",442,0.400891666907101,1.09511429526054
"area","lh_parstriangularis_area","patient",442,0.0677587085438097,1.07687490971967
"thickness","lh_parstriangularis_thickness","patient",442,0.282731580073867,1.05318819363437
"area","lh_pericalcarine_area","patient",442,-0.114897097535053,1.09337598927338
